category,sample_idx,plane,path,scale,label_db_min,label_db_max,baseline_db_min,baseline_db_max,shared_vmin,shared_vmax,figure
muscle,79,ZY,/media/liujia/rf_pipeline/64x32x32/02_h5_patches/test/muscle/RF000386_muscle_test_patch005.h5,35593.5234375,42.21391677856445,86.55467224121094,41.578575134277344,90.361083984375,28.28352336883546,88.28352336883546,figures/muscle_idx079_zy_label_vs_baseline.png
phantom,150,XZ,/media/liujia/rf_pipeline/64x32x32/02_h5_patches/test/phantom/RF000587_phantom_test_patch001.h5,6767.09423828125,26.153573989868164,75.19659423828125,41.14334487915039,82.1821517944336,19.892720222473145,79.89272022247314,figures/phantom_idx150_xz_label_vs_baseline.png
phantom,150,XY,/media/liujia/rf_pipeline/64x32x32/02_h5_patches/test/phantom/RF000587_phantom_test_patch001.h5,6767.09423828125,26.153573989868164,74.54686737060547,33.80826187133789,82.7216796875,20.289794998168958,80.28979499816896,figures/phantom_idx150_xy_label_vs_baseline.png
phantom,150,ZY,/media/liujia/rf_pipeline/64x32x32/02_h5_patches/test/phantom/RF000587_phantom_test_patch001.h5,6767.09423828125,25.176742553710938,75.51359558105469,43.81029510498047,82.03292846679688,20.134559631347656,80.13455963134766,figures/phantom_idx150_zy_label_vs_baseline.png
phantom,151,XZ,/media/liujia/rf_pipeline/64x32x32/02_h5_patches/test/phantom/RF000587_phantom_test_patch002.h5,2867.14501953125,18.66910171508789,68.90606689453125,30.62495231628418,73.65574645996094,11.979309463500982,71.97930946350098,figures/phantom_idx151_xz_label_vs_baseline.png
phantom,151,XY,/media/liujia/rf_pipeline/64x32x32/02_h5_patches/test/phantom/RF000587_phantom_test_patch002.h5,2867.14501953125,25.35137176513672,68.52442932128906,37.67952346801758,76.5738296508789,12.772137870788583,72.77213787078858,figures/phantom_idx151_xy_label_vs_baseline.png
phantom,151,ZY,/media/liujia/rf_pipeline/64x32x32/02_h5_patches/test/phantom/RF000587_phantom_test_patch002.h5,2867.14501953125,24.70162582397461,67.2442626953125,28.01894187927246,75.50758361816406,14.190485572814936,74.19048557281494,figures/phantom_idx151_zy_label_vs_baseline.png
phantom,152,XZ,/media/liujia/rf_pipeline/64x32x32/02_h5_patches/test/phantom/RF000587_phantom_test_patch003.h5,4193.587890625,27.974533081054688,70.3701400756836,40.73058319091797,78.69881439208984,16.882817459106462,76.88281745910646,figures/phantom_idx152_xz_label_vs_baseline.png
phantom,152,XY,/media/liujia/rf_pipeline/64x32x32/02_h5_patches/test/phantom/RF000587_phantom_test_patch003.h5,4193.587890625,28.97035789489746,70.56060028076172,41.47292709350586,78.8959732055664,16.70318321228028,76.70318321228028,figures/phantom_idx152_xy_label_vs_baseline.png
phantom,152,ZY,/media/liujia/rf_pipeline/64x32x32/02_h5_patches/test/phantom/RF000587_phantom_test_patch003.h5,4193.587890625,29.34677505493164,70.22969055175781,32.85551452636719,78.7715835571289,16.6615432739258,76.6615432739258,figures/phantom_idx152_zy_label_vs_baseline.png
phantom,153,XZ,/media/liujia/rf_pipeline/64x32x32/02_h5_patches/test/phantom/RF000587_phantom_test_patch004.h5,6496.9326171875,30.206016540527344,75.03597259521484,42.971553802490234,81.06275939941406,19.817342185974127,79.81734218597413,figures/phantom_idx153_xz_label_vs_baseline.png
phantom,153,XY,/media/liujia/rf_pipeline/64x32x32/02_h5_patches/test/phantom/RF000587_phantom_test_patch004.h5,6496.9326171875,27.76046371459961,74.12991333007812,31.228696823120117,81.34750366210938,19.67586715698242,79.67586715698242,figures/phantom_idx153_xy_label_vs_baseline.png
phantom,153,ZY,/media/liujia/rf_pipeline/64x32x32/02_h5_patches/test/phantom/RF000587_phantom_test_patch004.h5,6496.9326171875,26.76496696472168,74.5589370727539,36.41386032104492,82.58487701416016,19.476109123229975,79.47610912322997,figures/phantom_idx153_zy_label_vs_baseline.png
phantom,154,XZ,/media/liujia/rf_pipeline/64x32x32/02_h5_patches/test/phantom/RF000587_phantom_test_patch005.h5,8898.984375,35.05680465698242,77.53045654296875,45.659324645996094,83.89937591552734,22.743758392333987,82.74375839233399,figures/phantom_idx154_xz_label_vs_baseline.png
phantom,154,XY,/media/liujia/rf_pipeline/64x32x32/02_h5_patches/test/phantom/RF000587_phantom_test_patch005.h5,8898.984375,36.769386291503906,76.0463638305664,40.30926513671875,85.61872863769531,21.783614654541083,81.78361465454108,figures/phantom_idx154_xy_label_vs_baseline.png
phantom,154,ZY,/media/liujia/rf_pipeline/64x32x32/02_h5_patches/test/phantom/RF000587_phantom_test_patch005.h5,8898.984375,35.952430725097656,75.71711730957031,36.78244400024414,84.20381164550781,21.86759223937989,81.86759223937989,figures/phantom_idx154_zy_label_vs_baseline.png
